index,section,title,method,uri
13,3.1.13,查询归档的BMC事件上报注册文件资源,GET,https://device_ip/redfish/v1/RegistryStore/Messages/en/file_id
17,3.2.4,卸载语言,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.DeleteLanguage
19,3.2.6,一键收集,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.Dump
20,3.2.7,快速收集（精简日志收集）,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.QuickDump
30,3.2.17,查询虚拟iBMA U盘资源,GET,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/iBMAUSBStick
31,3.2.18,连接虚拟iBMA U盘,POST,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/iBMAUSBStick/Oem/Huawei/Public/Actions/VirtualMedia.USBStickControl
32,3.2.19,断开虚拟iBMA U盘,POST,https://device_ip/redfish/v1/Managers/manager_id/VirtualMedia/iBMAUSBStick/Oem/Huawei/Public/Actions/VirtualMedia.USBStickControl
40,3.2.27,查询SMTP资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SmtpService
41,3.2.28,修改SMTP资源属性,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SmtpService
42,3.2.29,导入SMTP根证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SmtpService/Actions/SmtpService.ImportRootCertificate
43,3.2.30,发送SMTP测试邮件,POST,https://device_ip/redfish/v1/Managers/manager_id/SmtpService/Actions/SmtpService.SubmitTestEvent
46,3.2.33,导入Syslog根证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SyslogService/Actions/SyslogService.ImportRootCertificate
47,3.2.34,导入Syslog本地证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SyslogService/Actions/SyslogService.ImportClientCertificate
48,3.2.35,Syslog发送测试事件,POST,https://device_ip/redfish/v1/Managers/manager_id/SyslogService/Actions/SyslogService.SubmitTestEvent
49,3.2.36,导入Syslog服务器证书吊销列表,POST,https://device_ip/redfish/v1/Managers/manager_id/SyslogService/Actions/SyslogService.ImportCrl
50,3.2.37,删除Syslog服务器证书吊销列表,POST,https://device_ip/redfish/v1/Managers/manager_id/SyslogService/Actions/SyslogService.DeleteCrl
63,3.2.50,查询安全策略集合资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SecurityPolicy
64,3.2.51,修改安全策略集合资源信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id/SecurityPolicy
66,3.2.53,导入远程HTTPS传输服务器根证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/Actions/SecurityService.ImportRemoteHttpsServerRootCA
67,3.2.54,删除远程HTTPS传输服务器根证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/Actions/SecurityService.DeleteRemoteHttpsServerRootCA
68,3.2.55,导入远程HTTPS传输服务器根证书的吊销列表,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/Actions/SecurityService.ImportRemoteHttpsServerCrl
76,3.2.63,导入SSL证书更新服务的CA证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.ImportCA
77,3.2.64,导入SSL证书更新服务的CA证书吊销列表,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.ImportCrl
78,3.2.65,删除SSL证书更新服务的CA证书吊销列表,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.DeleteCrl
79,3.2.66,导入SSL证书更新服务的客户端证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.ImportClientCert
123,3.2.110,查询工作记录信息,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/WorkRecord
132,3.2.119,查询License服务信息,GET,https://device_ip/redfish/v1/Managers/manager_id/LicenseService
133,3.2.120,安装license,POST,https://device_ip/redfish/v1/Managers/manager_id/LicenseService/Actions/LicenseService.InstallLicense
134,3.2.121,导出license,POST,https://device_ip/redfish/v1/Managers/manager_id/LicenseService/Actions/LicenseService.ExportLicense
135,3.2.122,失效license,POST,https://device_ip/redfish/v1/Managers/manager_id/LicenseService/Actions/LicenseService.RevokeLicense
136,3.2.123,删除license,POST,https://device_ip/redfish/v1/Managers/manager_id/LicenseService/Actions/LicenseService.DeleteLicense
139,3.2.126,查询NIC集合资源,GET,https://device_ip/redfish/v1/Managers/manager_id/NICs
140,3.2.127,查询指定NIC资源,GET,https://device_ip/redfish/v1/Managers/manager_id/NICs/nicid
141,3.2.128,修改指定NIC资源,PATCH,https://device_ip/redfish/v1/Managers/manager_id/NICs/nicid
146,3.2.133,刷新可安装的BMA,POST,https://device_ip/redfish/v1/Managers/manager_id/SmsService/Actions/SmsService.RefreshInstallableBma
156,3.2.143,查询DICE证书资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/DiceCert
157,3.2.144,导出DICE CSR,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/DiceCert/Actions/DiceCert.ExportDiceCSR
158,3.2.145,导入DICE证书,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/DiceCert/Actions/DiceCert.ImportDiceCertificate
159,3.2.146,导出DICE证书链,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/DiceCert/Actions/DiceCert.ExportDiceCertficateChain
160,3.2.147,导出融合身份认证证书链,POST,https://device_ip/redfish/v1/Managers/manager_id/SecurityService/DiceCert/Actions/DiceCert.ExportHardwareComponentsCertficateChain
167,3.2.154,设置事件记录模式,PATCH,https://device_ip/redfish/v1/Managers/manager_id/LogServices/EventLog
168,3.2.155,查询PRBS测试接口集合的资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/PRBSTest
170,3.2.157,查询单个PRBS测试对象信息,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/PRBSTest/TestObjects/TestObjectId
175,3.2.162,查询脏污检测接口集合的资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection
176,3.2.163,查询脏污检测对象集合的资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection/Detectors
177,3.2.164,查询单个脏污检测对象信息,GET,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection/Detectors/DetectorId
178,3.2.165,查询脏污检测信息,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection/Actions/ContaminationDetection.GetResult
179,3.2.166,初始化脏污检测,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection/Actions/ContaminationDetection.Initiate
180,3.2.167,启动脏污检测,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection/Actions/ContaminationDetection.Start
181,3.2.168,终止脏污检测,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/ContaminationDetection/Actions/ContaminationDetection.Shutdown
185,3.2.172,清空日志信息,POST,https://device_ip/redfish/v1/Managers/manager_id/LogServices/EventLog/Actions/LogService.ClearLog
187,3.2.174,恢复出厂设置,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Manager.ResetToDefaults
188,3.2.175,测试文件服务器连通性,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/ Manager.TestConnection
189,3.2.176,查询SSL证书集合资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/NetworkProtocol/HTTPS/Certificates
190,3.2.177,查询指定SSL证书资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/NetworkProtocol/HTTPS/Certificates/certificate_id
191,3.2.178,导出诊断度量数据,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.ExportDiagnosticMetrics
192,3.2.179,收集硬盘日志信息,POST,https://device_ip/redfish/v1/Managers/manager_id/DiagnosticService/Actions/DiagnosticService.StartCollectDrivesLog
193,3.2.180,查询节能策略资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id/EnergySavingService/Measurement
194,3.2.181,节能策略资源信息配置,PATCH,https://device_ip/redfish/v1/Managers/manager_id/EnergySavingService/Measurement
195,3.2.182,查询CpuFPC服务资源,GET,https://device_ip/redfish/v1/Managers/manager_id/FDMService/CpuFPC
196,3.2.183,查询MemoryHighRAS内存健康状态信息,GET,https://device_ip/redfish/v1/Managers/manager_id/FDMService/CpuFPC/MemoryHighRAS
197,3.2.184,执行内存隔离任务,POST,https://device_ip/redfish/v1/Managers/manager_id/FDMService/CpuFPC/MemoryHighRAS/Actions/MemoryHighRAS.ExecuteIsolation
198,3.2.185,执行内存巡检任务,POST,https://device_ip/redfish/v1/Managers/manager_id/FDMService/CpuFPC/MemoryHighRAS/Actions/MemoryHighRAS.ExecuteScrubbing
199,3.2.186,查询BMC内存数据,GET,https://device_ip/redfish/v1/Managers/manager_id/ManagerDiagnosticData
218,3.3.19,创建VLAN,POST,https://device_ip/redfish/v1/Systems/system_id/EthernetInterfaces/ethernetinterface_id/VLANs
222,3.3.23,查询存储控制器集合资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/Storage/storage_id/Controllers
223,3.3.24,查询指定存储控制器资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/Storage/storage_id/Controllers/storagecontroller_id
226,3.3.27,查询指定存储控制器指标资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/Storage/storage_id/Controllers/storagecontroller_id/Metrics
242,3.3.43,导入安全启动证书,POST,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates/Actions/BootCertificates.ImportSecureBootCert
243,3.3.44,重置安全启动证书,POST,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates/Actions/BootCertificates.ResetSecureBootCert
244,3.3.45,导入HTTPS启动证书,POST,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates/Actions/BootCertificates.ImportBootCert
245,3.3.46,重置HTTPS启动证书,POST,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates/Actions/BootCertificates.ResetBootCert
246,3.3.47,导入HTTPS启动证书吊销列表,POST,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates/Actions/BootCertificates.ImportBootCrl
247,3.3.48,重置HTTPS启动证书吊销列表,POST,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates/Actions/BootCertificates.ResetBootCrl
248,3.3.49,查询Bios证书信息,GET,https://device_ip/redfish/v1/Systems/system_id/Bios/Oem/Huawei/Public/BootCertificates
252,3.3.53,查询指定处理器指标资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/Processors/processor_id/ProcessorMetrics
253,3.3.54,查询指定处理器端口集合资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/Processors/processor_id /Ports
254,3.3.55,查询处理器指定端口资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/Processors/processor_id /Ports/port_id
258,3.3.59,查询日志服务集合资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/LogServices
259,3.3.60,查询指定日志服务资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/LogServices/logservices_id
260,3.3.61,修改指定日志服务资源属性,PATCH,https://device_ip/redfish/v1/Systems/system_id/LogServices/LogService_id
261,3.3.62,清空日志信息,POST,https://device_ip/redfish/v1/Systems/system_id/LogServices/LogService_id/Actions/LogService.ClearLog
262,3.3.63,查询SEL日志,POST,https://device_ip/redfish/v1/Systems/system_id/LogServices/LogService_id/Actions/Oem/Huawei/Public/LogService.QuerySelLogEntries
263,3.3.64,收集SEL日志,POST,https://device_ip/redfish/v1/Systems/systems_id/LogServices/LogService_id/Actions/Oem/Huawei/Public/LogService.CollectSel
264,3.3.65,查询日志集合资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/LogServices/Log_id/Entries
265,3.3.66,查询日志资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/LogServices/LogService_id/Entries/Entries_id
275,3.3.76,清除Foreign配置,POST,https://device_ip/redfish/v1/Systems/system_id/Storages/storage_id/Actions/Oem/Huawei/Public/Storage.ClearForeignConfig
278,3.3.79,查询虚拟媒体集合资源,GET,https://device_ip/redfish/v1/Systems/system_id /VirtualMedia
279,3.3.80,查询虚拟媒体资源,GET,https://device_ip/redfish/v1/Systems/system_id/VirtualMedia/CD
281,3.3.82,连接虚拟媒体,POST,https://device_ip/redfish/v1/Systems/system_id/VirtualMedia/CD/Actions/VirtualMedia. InsertMedia
282,3.3.83,断开虚拟媒体,POST,https://device_ip/redfish/v1/Systems/system_id/VirtualMedia/CD/Actions/VirtualMedia. EjectMedia
283,3.3.84,查询安全启动资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/SecureBoot
284,3.3.85,管理安全启动证书资源,POST,https://device_ip/redfish/v1/Systems/system_id/SecureBoot/Actions/SecureBoot.ResetKeys
285,3.3.86,查询安全启动数据库集合资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/SecureBoot/SecureBootDatabases
286,3.3.87,查询安全启动数据库资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/SecureBoot/SecureBootDatabases/database_id
287,3.3.88,管理安全启动数据库中的安全启动证书资源,POST,https://device_ip/redfish/v1/Systems/system_id/SecureBoot/SecureBootDatabases/database_id/Actions/SecureBootDatabase.ResetKeys
288,3.3.89,查询安全启动数据库安全启动证书集合信息,GET,https://device_ip/redfish/v1/Systems/system_id/SecureBoot/SecureBootDatabases/database_id/Certificates
289,3.3.90,查询安全启动数据库中安全启动证书属性,GET,https://device_ip/redfish/v1/Systems/system_id/SecureBoot/SecureBootDatabases/database_id/Certificates/certificate_id
290,3.3.91,清空内存指标资源当前周期的度量统计数据,POST,https://device_ip/redfish/v1/Systems/system_id/Memory/memory_id/MemoryMetrics/Actions/MemoryMetrics.ClearCurrentPeriod
291,3.3.92,清空处理器指标资源当前周期的度量统计数据,POST,https://device_ip/redfish/v1/Systems/system_id/Processors/processor_id/ProcessorMetrics/Actions/ProcessorMetrics.ClearCurrentPeriod
292,3.3.93,查询图形控制器集合资源,GET,https://device_ip/redfish/v1/Systems/system_id/GraphicsControllers
293,3.3.94,查询指定图形控制器资源信息,GET,https://device_ip/redfish/v1/Systems/system_id/GraphicsControllers/graphics_controller_id
297,3.4.4,查询指定机箱装配信息,GET,https://device_ip/redfish/v1/Chassis/Chassis_id/Assembly
314,3.4.21,查询单个网络适配器指标信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/NetworkAdapters/network_adapter_id/Metrics
315,3.4.22,查询单个网络适配器组装信息,GET,https://device_ip/redfish/v1/Chassis/Chassis_id/NetworkAdapters/network_adapter_id/Assembly
316,3.4.23,查询单个网络适配器公开逻辑接口集合资源信息,GET,https://device_ip/redfish/v1/Chassis/Chassis_id/NetworkAdapters/network_adapter_id/NetworkDeviceFunctions
317,3.4.24,查询单个网络适配器的指定公开逻辑接口资源信息,GET,https://device_ip/redfish/v1/Chassis/Chassis_id/NetworkAdapters/network_adapter_id/NetworkDeviceFunctions/network_device_funtion_id
318,3.4.25,查询单个网络适配器的指定公开逻辑接口指标信息,GET,https://device_ip/redfish/v1/Chassis/Chassis_id/NetworkAdapters/network_adapter_id/NetworkDeviceFunctions/network_device_funtion_id/Metrics
319,3.4.26,复位或上下电网络适配器,POST,https://device_ip/redfish/v1/Chassis/chassis_id/NetworkAdapters/networkadapters_id/Actions/NetworkAdapter.Reset
323,3.4.30,查询单个网络端口度量信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/NetworkAdapters/networkadapter_id/Ports/port_id/Metrics
326,3.4.33,查询光模块通道映射关系集合资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/Transceivers/transceivers_id/LaneMappings
327,3.4.34,查询光模块通道映射关系资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/Transceivers/transceivers_id/LaneMappings/mapping_id
331,3.4.38,查询指定驱动器资源硬件诊断信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/drives/drive_id/Metrics
332,3.4.39,查询指定驱动器资源装配体信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/drives/drive_id/Assembly
338,3.4.45,查询PCIe插槽资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/PCIeSlots
345,3.4.52,查询PCIe功能集合资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/PCIeDevices/pciedevices_id/PCIeFunctions
350,3.4.58,查询备电集合资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/BackupBatteryUnits
351,3.4.59,查询备电单个资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/BackupBatteryUnits/backupbattery_id
365,3.4.73,查询电源集合资源,GET,https://device_ip/redfish/v1/Chassis/ChassisId/PowerSubsystem/PowerSupplies
368,3.4.76,查询可信组件集合资源,GET,https://device_ip/redfish/v1/Chassis/chassis_id/TrustedComponents
369,3.4.77,查询可信组件单个资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/TrustedComponents/trusted_component_id
370,3.4.78,查询可信组件证书集合资源,GET,https://device_ip/redfish/v1/Chassis/chassis_id/TrustedComponents/trusted_component_id/Certificates
371,3.4.79,查询可信组件单个证书资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/TrustedComponents/trusted_component_id/Certificates/certificate_id
372,3.4.80,查询泵集合资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/ThermalSubsystem/Pumps
373,3.4.81,查询泵单个资源信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/ThermalSubsystem/Pumps/pump_id
374,3.4.82,查询电子保单信息,GET,https://device_ip/redfish/v1/Chassis/chassis_id/Oem/Public/Huawei/DigitalWarranty
375,3.4.83,修改电子保单信息,PATCH,https://device_ip/redfish/v1/Chassis/chassis_id/Oem/Public/Huawei/DigitalWarranty
376,3.4.84,复位指定物理盘,POST,https://device_ip/redfish/v1/Chassis/chassis_id/Drives/drives_id/Actions/Drive.Reset
