score,confidence,method_same,bmc_index,bmc_section,bmc_title,bmc_method,bmc_uri,podm_index,podm_section,podm_title,podm_method,podm_uri
1.0,high,True,1,3.1.1,查询Redfish版本信息,GET,https://device_ip/redfish,1,4.1.1,查询Redfish版本信息,GET,/redfish
1.0,high,True,2,3.1.2,查询当前根服务资源,GET,https://device_ip/redfish/v1,2,4.1.2,查询当前根服务资源,GET,/redfish/v1
1.0,high,True,3,3.1.3,修改当前根服务资源,PATCH,https://device_ip/redfish/v1,3,4.1.3,修改当前根服务资源,PATCH,/redfish/v1
1.0,high,True,4,3.1.4,查询Metadata文档,GET,https://device_ip/redfish/v1/$metadata,4,4.1.4,查询Metadata文档,GET,/redfish/v1/$metadata
1.0,high,True,5,3.1.5,查询所有资源的Schema文件,GET,https://device_ip/redfish/v1/JSONSchemas,5,4.1.5,查询所有资源的Schema文件,GET,/redfish/v1/JSONSchemas
1.0,high,True,6,3.1.6,查询单个Schema文件归档地址,GET,https://device_ip/redfish/v1/JSONSchemas/member_id,6,4.1.6,查询单个Schema文件归档地址,GET,/redfish/v1/JSONSchemas/{member_id}
1.0,high,True,7,3.1.7,查询单个Schema文件资源,GET,https://device_ip/redfish/v1/SchemaStore/language_id/file_id,7,4.1.7,查询单个Schema文件资源,GET,/redfish/v1/SchemaStore/{language_id}/{file_id}
1.0,high,True,8,3.1.8,查询所有归档资源,GET,https://device_ip/redfish/v1/Registries,8,4.1.8,查询所有归档资源,GET,/redfish/v1/Registries
1.0,high,True,9,3.1.9,查询单个归档资源,GET,https://device_ip/redfish/v1/Registries/registries_id,9,4.1.9,查询单个归档资源,GET,/redfish/v1/Registries/{registries_id}
1.0,high,True,10,3.1.10,查询OData服务文档,GET,https://device_ip/redfish/v1/odata,10,4.1.10,查询OData服务文档,GET,/redfish/v1/odata
1.0,high,True,11,3.1.11,查询系统概览信息,GET,https://device_ip/redfish/v1/SystemOverview,12,4.1.12,查询系统概览信息,GET,/redfish/v1/SystemOverview
1.0,high,True,12,3.1.12,查询性能数据采集服务资源,GET,https://device_ip/redfish/v1/PerformanceCollection,13,4.1.13,查询性能数据采集服务资源,GET,/redfish/v1/PerformanceCollection
0.7692,low,True,14,3.2.1,查询管理集合资源信息,GET,https://device_ip/redfish/v1/Managers,15,4.2.1,查询服务器当前管理集合资源的信息,GET,/redfish/v1/Managers
1.0,high,True,15,3.2.2,查询指定管理资源信息,GET,https://device_ip/redfish/v1/Managers/manager_id,16,4.2.2,查询指定管理资源信息,GET,/redfish/v1/Managers/{manager_id}
1.0,high,True,16,3.2.3,修改指定管理资源信息,PATCH,https://device_ip/redfish/v1/Managers/manager_id,17,4.2.3,修改指定管理资源信息,PATCH,/redfish/v1/Managers/{manager_id}
0.6316,medium,True,18,3.2.5,恢复出厂设置（自定义接口）,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.RestoreFactory,27,4.2.13,恢复整框出厂设置,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.RestoreFactory
0.8837,medium,True,21,3.2.8,导入BIOS、BMC和RAID控制器配置,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.ImportConfiguration,18,4.2.4,导入刀片服务器BIOS、BMC和RAID控制器配置,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.ImportConfiguration
0.8837,medium,True,22,3.2.9,导出BIOS、BMC和RAID控制器配置,POST,https://device_ip/redfish/v1/Managers/manager_id/Actions/Oem/Huawei/Public/Manager.ExportConfiguration,19,4.2.5,导出刀片服务器BIOS、BMC和RAID控制器配置,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.ExportConfiguration
