index,section,title,method,uri
11,4.1.11,查询机柜概览信息,GET,/redfish/v1/ChassisOverview
14,4.1.14,查询逻辑计算节点配比信息,GET,/redfish/v1/Oem/HuaweiPublic/ResourceNodes
20,4.2.6,导入整框配置数据,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.PoDImportConfiguration
21,4.2.7,导出整框配置数据,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.PoDExportConfiguration
22,4.2.8,备份刀片配置文件,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.BackupConfiguration
23,4.2.9,还原刀片配置文件,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.RestoreConfiguration
24,4.2.10,启动纳管,POST,/redfish/v1/Managers/{manager_id} /Actions/Oem/HuaweiPublic/Manager.Takeover
25,4.2.11,上载文件,POST,/redfish/v1/Managers/{manager_id} /Actions/Oem/HuaweiPublic/Manager.ImportFile
26,4.2.12,上载GESwitch文件 （接口废弃）,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.ImportSwitchFile
28,4.2.14,恢复刀片出厂设置 （没有这个URL）,POST,/redfish/v1/Managers/{manager_id}/Actions/Manager.RestoreFactory
30,4.2.16,文件下载,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.GeneralDownload
32,4.2.18,导出机柜日志,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.ExportLog
44,4.2.30,查询网口模式信息,GET,/redfish/v1/Managers/{manager_id}/EthernetInterfaces/Oem/HuaweiPublic/EthernetInterfacesMode
45,4.2.31,设置网口模式信息,POST,/redfish/v1/managers/manager_id/Oem/HuaweiPublic/Manager.SetEthernetInterfacesMode
53,4.2.39,重启GESWITCH （好像没有评审这个URI）,POST,/redfish/v1/Managers/{manager_id}/GESwitch/Actions/GESwitchSystem.Reset
104,4.2.90,创建机柜以太链路压测,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/SwitchDiagnose/Actions/SwitchDiagnose.DiagnoseSwitchLinks
105,4.2.91,查询机柜以太链路压测结果,GET,/redfish/v1/Managers/{manager_id}/DiagnosticService/SwitchDiagnose
106,4.2.92,创建机柜跨节点UB链路压测,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/UBDiagnose/Actions/UBDiagnose.DiagnoseUBLinks
107,4.2.93,查询机柜跨节点UB链路压测结果,GET,/redfish/v1/Managers/{manager_id}/DiagnosticService/UBDiagnose
113,4.2.99,查询当前告警信息,GET,/redfish/v1/Managers/{manager_id}/LogServices/EventLog/Oem/HuaweiPublic/HealthEvent/Entries
132,4.2.118,设置整柜的维护状态，抑制整柜告警上报,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.SetPoDMaintenanceMode
133,4.2.119,设置刀片的维护状态，抑制刀片告警上报,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.SetMaintenanceMode
134,4.2.120,查询刀片维护状态,GET,/redfish/v1/Managers/{manager_id}/Oem/HuaweiPublic/MaintenanceMode
137,4.2.123,近端运维账号管理,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.SetDefaultAccount
138,4.2.124,内部运维账号密码设置管理（评）,POST,/redfish/v1/Managers/{manager_id}/Oem/HuaweiPublic/InnerAccount/{account_id}/Actions/Oem/HuaweiPublic/Manager.ChangePassword
139,4.2.125,添加删除黑白名单命令的IPMI命令表（评）,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublici/Manager.SetShieldIPMI
140,4.2.126,查询黑白名单命令的IPMI命令表,POST,/redfish/v1/Managers/{manager_id}/Actions/Oem/HuaweiPublic/Manager.QueryShieldIPMI
141,4.2.127,导入UBM文件 (接口废弃),POST,/redfish/v1/Managers//{manager_id} /Actions/Oem/HuaweiPublic/Manager.ImportUBMFile
142,4.2.128,导出BIOS BIN文件,POST,/redfish/v1/Managers/{manager_id}/DiagnosticService/Actions/DiagnosticService.ExportBiosBin
143,4.2.129,固件文件上传 (没有这接口),POST,/redfish/v1/Managers/{manager_id}/UpdateService/FirmwareInventory
208,4.3.65,查询租户信息,GET,/redfish/v1/Systems/{system_id}/Oem/HuaweiPublic/UnifiedBus
209,4.3.66,修改租户信息,PATCH,/redfish/v1/Systems/{system_id}/Oem/HuaweiPublic/UnifiedBus
252,4.4.43,查询历史功率资源信息,POST,/redfish/v1/Chassis/{chassis_id}/Power/Oem/HuaweiPublic/Actions/Power.PowerHistoryData
336,4.10.3.2.9,查询安全配置策略,GET,/redfish/v1/Managers/manager_id/SecurityService
337,4.10.3.2.10,修改安全配置策略,PATCH,/redfish/v1/Managers/manager_id/SecurityService
338,4.10.3.2.11,修改南向SSL证书更新服务资源信息,PATCH,/redfish/v1/Managers/manager_id/SecurityService/SouthCertUpdateService
339,4.10.3.2.12,查询南向SSL证书更新服务资源信息,GET,/redfish/v1/Managers/manager_id/SecurityService/SouthCertUpdateService
347,4.10.3.4.5,会话续约,GET,/redfish/v1/SessionService/Actions/SessionService.CheckValid
354,4.10.3.6.1,导入南向SSL自定义证书,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ImportCustomSouthCertificate
355,4.10.3.6.2,查询南向SSL证书,GET,/redfish/v1/Managers/manager_id/SecurityService/HttpsSouthCert
356,4.10.3.6.3,南向证书CSR生成,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.GenerateSouthCSR
357,4.10.3.6.4,南向证书CSR导出,GET,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ExportSouthCSR
358,4.10.3.6.5,导入南向SSL服务器证书,POST,/redfish/v1/Managers/manager_id/SecurityService/HttpsCert/Actions/HttpsCert.ImportServerSouthCertificate
359,4.10.3.6.6,南向SSL证书在线更新,GET,/redfish/v1/Managers/manager_id/SecurityService/CertUpdateService/Actions/CertUpdateService.UpdateSouthCertFromCA
367,4.10.3.8.1,查询系统主密钥,GET,/redfish/v1/Managers/manager_id/SecurityService/Actions/SecurityService.ShowMasterKey
